# TRADING CODE LTP* HIGH LOW CLOSEP* YCP* CHANGE TRADE VALUE (mn) VOLUME	
61	ONEBANKPLC	8.3	8.4	8.1	8.2	8.1	0.2	152	11.3390	1,374,738	
62	BSRMLTD	72.5	74.3	72.4	72.5	73.6	-1.1	410	11.2140	154,193	
63	FUWANGCER	13.2	13.4	13.1	13.2	13.2	0	472	10.9230	826,875	
64	RDFOOD	22.2	22.8	22	22.2	22.5	-0.3	504	10.7630	481,641	
65	FEKDIL	15.9	16.1	15.8	15.9	16	-0.1	428	10.7440	674,178	
66	MONNOAGML	329.7	344.5	328	329.7	335.8	-6.1	703	10.7310	32,166	
67	NATLIFEINS	89.4	91.7	88.3	89.4	90.4	-1	326	10.3770	116,196	
68	ICBSONALI1	5.5	5.7	5.5	5.5	5.6	-0.1	237	10.0380	1,810,664	
69	KARNAPHULI	28.8	29.1	28.2	28.8	28.8	0	472	10.0140	349,261	
70	OIMEX	26.7	27	26.4	26.7	26.5	0.2	352	10.0000	374,925	
71	CLICL	50.2	51.3	48.6	50.2	50.2	0	351	9.9730	197,407	
72	GPHISPAT	21.2	21.4	21	21.2	21.1	0.1	349	9.9670	470,852	
73	ECABLES	124	135	122.5	124	128.8	-4.8	706	9.9400	77,989	
74	LINDEBD	905.4	917	905	905.4	912.1	-6.7	749	9.5120	10,488	
75	CITYBANK	22.6	22.7	22.5	22.6	22.6	0	149	9.5020	420,746	
76	ASIATICLAB	33.3	34.4	33	33.3	34	-0.7	533	9.2220	274,600	
77	EHL	74.9	75.8	73.8	74.9	74.4	0.5	539	9.1890	122,796	
78	SONARGAON	32.9	33.2	30.6	32.9	31.5	1.4	547	9.1200	281,851	
79	ITC	37.6	38	37.5	37.6	37.8	-0.2	392	8.8900	236,097	
80	AL-HAJTEX	129	130	124.5	129	124.6	4.4	578	8.8790	70,201	
81	RENATA	499.9	500.9	499.7	499.9	499.6	0.3	330	8.6750	17,351	
82	BDCOM	24.8	25.4	24.8	24.8	25.2	-0.4	311	8.6490	346,859	
83	ADNTEL	83.3	84.4	82	83.3	82.2	1.1	528	8.6300	104,150	
84	BPML	35.9	36.9	35.6	35.9	36.3	-0.4	459	8.4280	233,210	
85	IFIC1STMF	3.7	3.8	3.6	3.7	3.7	0	124	8.3630	2,264,917	
86	JHRML	49.7	51.2	49.5	49.7	50.2	-0.5	518	8.3300	166,674	
87	MATINSPINN	45.7	46	44.5	45.7	44.9	0.8	477	8.2710	181,901	
88	ISLAMIBANK	40.8	41	39.8	40.8	39.8	1	802	8.1060	200,749	
89	DSSL	9.9	10.1	9.8	9.9	9.9	0	499	8.0520	809,518	
90	TECHNODRUG	30.2	30.6	30.2	30.2	30.4	-0.2	361	8.0490	265,715	
91	ANWARGALV	70.8	71	68.8	70.8	69.3	1.5	591	8.0010	114,489	
92	ACMEPL	13.7	14	13.6	13.7	13.7	0	391	7.9570	578,834	
93	KAY&QUE	210.2	215.3	207.9	210.2	214.9	-4.7	536	7.6960	36,416	
94	BDTHAI	13.5	13.7	13.4	13.5	13.5	0	369	7.6260	563,084	
95	SBACBANK	7.9	8.2	7.7	7.9	7.7	0.2	306	7.5410	944,260	
96	CONTININS	27.4	27.6	26.8	27.4	27	0.4	340	7.5240	277,119	
97	RUPALILIFE	86.9	88.6	86.5	86.9	87.9	-1	499	7.3840	84,673	
98	ICB	49.8	51.4	49.5	49.8	50.7	-0.9	436	7.3800	147,234	
99	KTL	11.3	11.6	11.2	11.3	11.3	0	294	7.3410	647,780	
100	BDLAMPS	129.9	130.3	124.7	128.9	127.4	2.5	504	7.3360	56,955	
101	POPULARLIF	49.6	50.7	49.4	49.6	50.2	-0.6	418	7.3120	146,395	
102	GEMINISEA	146.2	148.4	146	146.2	147.7	-1.5	550	7.1270	48,526	
103	WALTONHIL	459.3	469	458.3	459.3	466.5	-7.2	715	6.8510	14,853	
104	MIRAKHTER	30.9	31.5	30.8	30.9	31	-0.1	208	6.8480	220,794	
105	DOREENPWR	22.8	23.5	22.8	23.1	23	-0.2	405	6.7740	292,531	
106	UCB	10.7	10.8	9.9	10.7	9.9	0.8	388	6.6320	627,883	
107	HAMI	128.4	129.9	122.1	128.4	125.6	2.8	653	6.5770	51,390	
108	1STPRIMFMF	19	19.7	18.8	19	19.4	-0.4	403	6.5530	341,460	
109	MONNOCERA	83.5	85	83	83.5	84.2	-0.7	250	6.4700	77,392	
110	ETL	9.2	9.4	9.1	9.2	9.3	-0.1	370	6.4080	693,180	
111	SAMORITA	61.1	62.4	61	61.1	61.8	-0.7	276	6.3780	104,178	
112	PRAGATIINS	52.2	55.8	52.2	52.7	54.6	-2.4	242	6.3510	116,853	
113	ACMELAB	73.4	74.5	73.3	73.4	73.8	-0.4	357	6.3320	86,062	
114	CENTRALPHL	10.4	10.6	10.2	10.4	10.2	0.2	356	6.3000	607,532	
115	GLDNJMF	7.8	8	7.7	7.8	7.9	-0.1	274	6.2340	796,122	
116	UNIONCAP	4.9	5.4	4.9	4.9	5.4	-0.5	349	6.1490	1,233,108	
117	CONFIDCEM	51.8	53	51.6	51.8	52.5	-0.7	271	6.1350	117,903	
118	CAPMBDBLMF	9.1	9.1	8.9	9.1	9.1	0	257	6.0560	671,915	
119	NCCBANK	10.4	10.6	10.2	10.3	10.3	0.1	141	5.9860	583,918	
120	MJLBD	94.7	95	94.5	94.7	94.9	-0.2	182	5.9710	63,110	
121	GHAIL	12.2	12.5	12.1	12.2	12.2	0	296	5.7980	473,060	
122	PREMIERBAN	9	9.1	8.9	9	8.9	0.1	126	5.7610	640,233	
123	HRTEX	31.2	32.3	30.9	31.2	31.2	0	338	5.7490	184,096	
124	MTB	11.7	11.8	11.6	11.7	11.6	0.1	114	5.6750	487,285	
125	CRYSTALINS	43.6	44.7	43.5	43.6	43.9	-0.3	293	5.6500	129,001	
126	MARICO	2	2,506	2,460	2,499.6	2	35	418	5.6020	2,245	
127	DOMINAGE	10.3	10.7	10.2	10.3	10.5	-0.2	291	5.4950	530,822	
128	KOHINOOR	511.3	521.8	510	511.3	514.4	-3.1	392	5.4460	10,572	
129	RUNNERAUTO	28	28.4	27.5	28	27.8	0.2	316	5.4350	194,299	
130	AMBEEPHA	809.7	857.3	796.1	809.7	828	-18.3	381	5.3950	6,487	
131	BEACONPHAR	118.4	120.4	117.8	118.4	118.6	-0.2	409	5.3810	45,365	
132	GOLDENSON	12.9	13.1	12.8	12.9	12.9	0	247	5.3230	411,481	
133	MERCANBANK	9.8	9.9	9.8	9.8	9.8	0	138	5.2800	538,670	
134	MONOSPOOL	93.7	95	93.6	93.7	94.8	-1.1	306	5.2780	56,070	
135	SHARPIND	17.9	18.5	17.7	17.9	18.1	-0.2	272	5.2640	289,679	
136	RANFOUNDRY	145.6	153.1	144.8	145.6	154.6	-9	309	5.2210	35,396	
137	PUBALIBANK	27.3	27.5	27.2	27.3	27.5	-0.2	127	5.2190	191,269	
138	IBP	10.2	10.7	10.2	10.2	10.5	-0.3	296	5.0800	491,013	
139	POWERGRID	35.1	36.1	35	35.1	35.7	-0.6	168	5.0510	142,904	
140	FIRSTSBANK	4.5	4.7	4.5	4.5	4.6	-0.1	165	4.9810	1,094,149	
141	RECKITTBEN	3	3,941.7	3,906.1	3,919.3	3	-13.4	291	4.9560	1,262	
142	PHARMAID	554.6	567.2	553	554.6	558.4	-3.8	386	4.8580	8,744	
143	SAPORTL	22.6	22.8	22.5	22.6	22.8	-0.2	223	4.7980	212,005	
144	BANGAS	95.3	97.6	95.1	95.3	96.6	-1.3	368	4.7620	49,636	
145	QUASEMIND	30.9	31.3	30.3	30.9	30.6	0.3	305	4.6810	151,443	
146	ISLAMICFIN	10.6	11.3	10.5	10.6	10.8	-0.2	234	4.6690	435,024	
147	KPCL	12.9	13.2	12.8	12.9	12.7	0.2	318	4.6500	358,769	
148	WATACHEM	118.1	125.4	117.9	118.9	121.2	-3.1	347	4.5680	37,988	
149	PROGRESLIF	64.8	68.5	64.5	64.8	64.5	0.3	377	4.5410	68,726	
150	EGEN	22.3	22.5	22	22.3	22.2	0.1	187	4.4220	198,639	
151	EMERALDOIL	21.4	22.8	21.3	21.4	21.5	-0.1	245	4.4130	203,240	
152	GENEXIL	22.6	23.2	22.4	22.6	22.6	0	281	4.4100	194,800	
153	JMISMDL	145.1	149	142.2	144.4	147.3	-2.2	307	4.3740	30,300	
154	ORIONPHARM	30.8	31.4	30.8	30.8	31	-0.2	206	4.3640	141,124	
